timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-28T10:28:01,codecarbon,1e371a42-9748-4199-b826-1f937d25ba6d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.032276374999995,1.000222843376036e-06,1.2452545165019134e-07,5.0,0.0,3.0,1.1155779224999998e-05,0.0,6.6929126391666695e-06,1.7848691864166668e-05,France,FRA,auvergne-rhône-alpes,,,macOS-14.5-arm64-arm-64bit,3.9.6,3.0.1,8,Apple M1,,,4.85,45.748,8.0,machine,N,1.0
2025-05-28T10:29:56,codecarbon,a1b7cbca-4d8a-45ea-b63c-6bd4f9578880,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.789275709000002,4.753978600893497e-07,4.4062073573000916e-08,0.9140000000000004,0.009999999999999998,3.0,1.9750543910105568e-06,2.5769862269444447e-08,6.482515208333333e-06,8.483339461613334e-06,France,FRA,auvergne-rhône-alpes,,,macOS-14.5-arm64-arm-64bit,3.9.6,3.0.1,8,Apple M1,1.0,Apple M1,4.85,45.748,8.0,machine,N,1.0
